date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:47	1/1	---M--	200	added ('OK')	text/plain	etag:%2268b329da9893e34099c7d8ad5cb9c940%22	https://pixio-nuxt.vercel.app/robots.txt		(from )
09:35:47	1903195/1903195	---MCZ	200	added ('OK')	text/html	date:Tue,%2026%20Nov%202024%2004:35:47%20GMT	https://pixio-nuxt.vercel.app/index-2	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/index-2.html	(from )
09:35:48	80721/80721	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213b51-3cbp6tbRaukjc5nOQejBYgzFnDY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/Web%20Project/cdn.jsdelivr.net/npm/bootstrap@5.3.3/dist/js/bootstrap.bundle.min.js	(from https://pixio-nuxt.vercel.app/index-2)
09:35:49	68/68	---MC-	302	error ('Found')	text/plain	date:Tue,%2026%20Nov%202024%2004:35:49%20GMT	https://unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.js	C:/My%20Web%20Sites/Web%20Project/unpkg.com/isotope-layout@3/dist/isotope.pkgd.min.2.delayed	(from https://pixio-nuxt.vercel.app/index-2)
09:35:49	35445/35445	---MCZ	200	added ('OK')	application/javascript	etag:W/%228a75-xOWZTyTujI0s8tZgLwtWuQlqLpg%22	https://unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	C:/My%20Web%20Sites/Web%20Project/unpkg.com/isotope-layout@3.0.6/dist/isotope.pkgd.min.js	(from https://pixio-nuxt.vercel.app/index-2)
09:35:50	4756/4756	---MCZ	200	added ('OK')	font/ttf	etag:W/%2213e892a28dda2567a981344188df5567%22	https://pixio-nuxt.vercel.app/_nuxt/lg.oyjwlqP2.ttf?io9a6k	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/_nuxt/lg.oyjwlqP2b687.ttf	(from https://pixio-nuxt.vercel.app/index-2)
09:35:51	4832/4832	---M--	200	added ('OK')	font/woff	etag:%22ba38ec746a64d70d0a68e838664d3418%22	https://pixio-nuxt.vercel.app/_nuxt/lg.CosQH4Cu.woff?io9a6k	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/_nuxt/lg.CosQH4Cub687.woff	(from https://pixio-nuxt.vercel.app/index-2)
09:35:52	12834/12834	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22db9f4533754ce28129fbf9507c9b1240%22	https://pixio-nuxt.vercel.app/_nuxt/lg.B0dIV2BS.svg?io9a6k	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/_nuxt/lg.B0dIV2BSb687.svg	(from https://pixio-nuxt.vercel.app/index-2)
09:35:52	4178/4178	---M--	200	added ('OK')	image/gif	etag:%22bbdac9cda255c54bfd809110aff87898%22	https://pixio-nuxt.vercel.app/_nuxt/loading.BZOHaeKn.gif	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/_nuxt/loading.BZOHaeKn.gif	(from https://pixio-nuxt.vercel.app/index-2)
09:35:53	62084/62084	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%22931c9e74d0b20947054bfe6a5b74a838%22	https://pixio-nuxt.vercel.app/_nuxt/feather.B6uk7rDz.eot?t=1525787366991	C:/My%20Web%20Sites/Web%20Project/pixio-nuxt.vercel.app/_nuxt/feather.B6uk7rDze8ab.eot	(from https://pixio-nuxt.vercel.app/index-2)
